Far field
"Plane Wave Theta"[deg]	"FarField1 [dBsm]"	
2.79000000E+02	-5.85780709E+01	
2.80000000E+02	-5.15410309E+01	
2.81000000E+02	-5.14354935E+01	
2.82000000E+02	-4.87023795E+01	
2.83000000E+02	-4.22738937E+01	
2.84000000E+02	-3.85440563E+01	
2.85000000E+02	-3.71031067E+01	
2.86000000E+02	-3.77154037E+01	
2.87000000E+02	-4.08572240E+01	
2.88000000E+02	-4.91415952E+01	
2.89000000E+02	-4.89359759E+01	
2.90000000E+02	-4.21858993E+01	
2.91000000E+02	-4.01767696E+01	
2.92000000E+02	-4.02182998E+01	
2.93000000E+02	-4.10873975E+01	
2.94000000E+02	-4.20489246E+01	
2.95000000E+02	-4.37918259E+01	
2.96000000E+02	-4.87974755E+01	
2.97000000E+02	-6.01004190E+01	
2.98000000E+02	-4.49230054E+01	
2.99000000E+02	-3.93357485E+01	
3.00000000E+02	-3.53787994E+01	
3.01000000E+02	-3.17564476E+01	
3.02000000E+02	-2.85804268E+01	
3.03000000E+02	-2.61393349E+01	
3.04000000E+02	-2.45388560E+01	
3.05000000E+02	-2.37999019E+01	
3.06000000E+02	-2.33300442E+01	
3.07000000E+02	-2.35762951E+01	
3.08000000E+02	-2.46360178E+01	
3.09000000E+02	-2.65654725E+01	
3.10000000E+02	-2.94860497E+01	
3.11000000E+02	-3.36373036E+01	
3.12000000E+02	-3.95567194E+01	
3.13000000E+02	-4.91131261E+01	
3.14000000E+02	-5.54948114E+01	
3.15000000E+02	-4.60731019E+01	
3.16000000E+02	-4.14047181E+01	
3.17000000E+02	-3.86010860E+01	
3.18000000E+02	-3.72794811E+01	
3.19000000E+02	-3.74194891E+01	
3.20000000E+02	-3.92852062E+01	
3.21000000E+02	-4.37885482E+01	
3.22000000E+02	-5.11988284E+01	
3.23000000E+02	-4.52298679E+01	
3.24000000E+02	-4.13802127E+01	
3.25000000E+02	-4.04935397E+01	
3.26000000E+02	-4.16227407E+01	
3.27000000E+02	-4.41621623E+01	
3.28000000E+02	-4.63484522E+01	
3.29000000E+02	-4.70226213E+01	
3.30000000E+02	-4.89581568E+01	
3.31000000E+02	-5.20217165E+01	
3.32000000E+02	-4.60388343E+01	
3.33000000E+02	-4.11077477E+01	
3.34000000E+02	-3.87003799E+01	
3.35000000E+02	-3.81338031E+01	
3.36000000E+02	-3.91792932E+01	
3.37000000E+02	-4.18405909E+01	
3.38000000E+02	-4.59415767E+01	
3.39000000E+02	-4.97887531E+01	
3.40000000E+02	-5.28080510E+01	
3.41000000E+02	-5.64193174E+01	
3.42000000E+02	-4.74459435E+01	
3.43000000E+02	-4.16081651E+01	
3.44000000E+02	-3.85416930E+01	
3.45000000E+02	-3.73155730E+01	
3.46000000E+02	-3.76603837E+01	
3.47000000E+02	-3.96884844E+01	
3.48000000E+02	-4.40752485E+01	
3.49000000E+02	-5.25108515E+01	
3.50000000E+02	-4.93603334E+01	
3.51000000E+02	-4.37937519E+01	
3.52000000E+02	-4.00284332E+01	
3.53000000E+02	-3.64870723E+01	
3.54000000E+02	-3.32808057E+01	
3.55000000E+02	-3.06808258E+01	
3.56000000E+02	-2.87039924E+01	
3.57000000E+02	-2.71980691E+01	
3.58000000E+02	-2.58038331E+01	
3.59000000E+02	-2.33771044E+01	
3.60000000E+02	-2.93227330E+01	
